No.dePartido,Local,Visitante,Fecha,Hora,Estadio,Ciudad,País
33,F1,F3,2026-06-20,12:00,Estadio Houston,Houston,Estados Unidos
34,E1,E3,2026-06-20,16:00,Estadio Toronto,Toronto,Canadá
35,E4,E2,2026-06-20,19:00,Estadio Kansas City,Kansas City,Estados Unidos
36,F4,F2,2026-06-20,22:00,Estadio Monterrey,Monterrey,México
37,H1,H3,2026-06-21,12:00,Estadio Atlanta,Atlanta,Estados Unidos
38,G1,G3,2026-06-21,12:00,Estadio Los Ángeles,Los Ángeles,Estados Unidos
39,H4,H2,2026-06-21,18:00,Estadio Miami,Miami,Estados Unidos
40,G4,G2,2026-06-21,18:00,BC Place,Vancouver,Canadá
41,I1,I3,2026-06-22,12:00,Estadio Dallas,Dallas,Estados Unidos
42,I4,I2,2026-06-22,15:00,Estadio Chicago,Chicago,Estados Unidos
43,J1,J3,2026-06-22,18:00,Estadio MetLife,Nueva York/Nueva Jersey,Estados Unidos
44,J4,J2,2026-06-22,21:00,Estadio San Francisco,San Francisco,Estados Unidos
45,K1,K3,2026-06-23,15:00,Estadio Boston,Boston,Estados Unidos
46,K4,K2,2026-06-23,18:00,Estadio Miami,Miami,Estados Unidos
47,L1,L3,2026-06-23,21:00,Estadio Los Ángeles,Los Ángeles,Estados Unidos
48,L4,L2,2026-06-23,21:00,Estadio Seattle,Seattle,Estados Unidos
49,A2,A3,2026-06-24,15:00,Estadio Monterrey,Monterrey,México
50,A4,A1,2026-06-24,17:00,Estadio Azteca,Ciudad de México,México
51,B2,B3,2026-06-24,20:00,Estadio Filadelfia,Filadelfia,Estados Unidos
52,B4,B1,2026-06-24,20:00,Estadio Toronto,Toronto,Canadá
53,C4,C1,2026-06-25,12:00,Estadio Atlanta,Atlanta,Estados Unidos
54,C3,C2,2026-06-25,12:00,Estadio Miami,Miami,Estados Unidos
55,D2,D3,2026-06-25,15:00,Estadio Houston,Houston,Estados Unidos
56,D4,D1,2026-06-25,15:00,Estadio Dallas,Dallas,Estados Unidos
57,E2,E3,2026-06-26,12:00,Estadio Chicago,Chicago,Estados Unidos
58,E4,E1,2026-06-26,12:00,Estadio Boston,Boston,Estados Unidos
59,F2,F3,2026-06-26,15:00,Estadio San Francisco,San Francisco,Estados Unidos
60,F4,F1,2026-06-26,15:00,Estadio Los Ángeles,Los Ángeles,Estados Unidos
61,G2,G3,2026-06-27,15:00,Estadio Filadelfia,Filadelfia,Estados Unidos
62,G4,G1,2026-06-27,15:00,Estadio Seattle,Seattle,Estados Unidos
63,H2,H3,2026-06-27,18:00,Estadio Houston,Houston,Estados Unidos
64,H4,H1,2026-06-27,18:00,Estadio Guadalajara,Guadalajara,México
65,I2,I3,2026-06-27,21:00,Estadio Monterrey,Monterrey,México
66,I4,I1,2026-06-27,21:00,Estadio Azteca,Ciudad de México,México
67,J2,J3,2026-06-27,18:00,Estadio Kansas City,Kansas City,Estados Unidos
68,J4,J1,2026-06-27,18:00,Estadio Dallas,Dallas,Estados Unidos
69,K2,K3,2026-06-27,21:00,Estadio Atlanta,Atlanta,Estados Unidos
70,K4,K1,2026-06-27,21:00,Estadio Miami,Miami,Estados Unidos
71,L2,L3,2026-06-27,21:00,Estadio Toronto,Toronto,Canadá
72,L4,L1,2026-06-27,21:00,Estadio San Francisco,San Francisco,Estados Unidos
